cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2014,787,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2015,706,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2016,724,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2017,688,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2018,634,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2019,641,Defunciones
11,Guanajuato,0,Estatal,1002000035,Defunciones de menores de un año hombres,2020,548,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1994,1484,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1995,1509,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1996,1308,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1997,1344,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1998,1251,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,1999,1082,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2000,1037,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2001,892,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2002,931,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2003,858,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2004,762,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2005,774,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2006,754,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2007,739,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2008,692,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2009,614,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2010,656,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2011,626,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2012,603,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2013,564,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2014,582,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2015,539,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2016,493,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2017,567,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2018,581,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2019,484,Defunciones
11,Guanajuato,0,Estatal,1002000036,Defunciones de menores de un año mujeres,2020,432,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1994,10,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1995,6,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1996,3,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1997,4,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1998,5,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,1999,2,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2000,4,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2001,2,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2002,1,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2003,4,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2004,8,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2005,1,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2006,8,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2007,4,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2008,3,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2009,3,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2010,10,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2011,0,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2012,7,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2013,1,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2014,3,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2015,2,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2016,1,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2017,0,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2018,8,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2019,7,Defunciones
11,Guanajuato,0,Estatal,1002000037,Defunciones de menores de un año de sexo no especificado,2020,4,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1994,119,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1995,105,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1996,119,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1997,167,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1998,161,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,1999,153,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2000,180,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2001,168,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2002,203,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2003,187,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2004,173,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2005,220,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2006,187,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2007,270,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2008,298,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2009,276,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2010,283,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2011,358,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2012,338,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2013,351,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2014,422,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2015,466,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2016,459,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2017,494,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2018,504,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2019,493,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2020,501,Defunciones
11,Guanajuato,0,Estatal,6200240338,Suicidios registrados,2021,449,Defunciones
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1994,123.9,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1995,118.6,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1996,121.4,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1997,120.9,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1998,118.4,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,1999,120.8,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2000,122.6,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2001,117.1,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2002,115.8,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2003,116.3,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2004,118.1,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2005,116.2,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2006,118.1,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2007,119.4,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2008,122,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2009,120.7,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2010,118.4,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2011,122.7,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2012,123.1,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2013,121.7,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2014,124.2,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2015,126.1,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2016,125.87550003509,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2017,130.1190476,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2018,134.120871948831745203,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2019,137.0191697346705598578,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2020,146.1205048821147892355,Porcentaje
11,Guanajuato,0,Estatal,6200240468,Índice de sobremortalidad masculina,2021,137.485757690846942651,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1994,5.09417808219178,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1995,4.87691593125871,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1996,5.39193475305845,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1997,7.39265161575919,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1998,6.85982104814657,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,1999,6.42317380352645,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2000,7.76866637893828,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2001,7.479964381122,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2002,8.71244635193133,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2003,8.30004438526409,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2004,7.6,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2005,9.2,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2006,8.4,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2007,11.3,Porcentaje
11,Guanajuato,0,Estatal,6200240526,Porcentaje de muertes por suicidio con respecto al total de muertes violentas,2008,11.8,Porcentaje
