,cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,year,unidad_medida,valor
380,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2010,Nacimientos,0.0
381,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2011,Nacimientos,0.0
382,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2012,Nacimientos,0.0
383,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2013,Nacimientos,1.0
384,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2014,Nacimientos,0.0
385,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2015,Nacimientos,1.0
386,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2016,Nacimientos,0.0
387,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2017,Nacimientos,1.0
388,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2018,Nacimientos,1.0
389,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2019,Nacimientos,0.0
390,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2020,Nacimientos,0.0
391,11,Guanajuato,2,Acámbaro,1002000029,Nacimientos de sexo no especificado,2021,Nacimientos,0.0
392,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1994,Nacimientos,5344.0
393,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1995,Nacimientos,4992.0
394,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1996,Nacimientos,4864.0
395,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1997,Nacimientos,5278.0
396,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1998,Nacimientos,4633.0
397,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,1999,Nacimientos,4783.0
398,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2000,Nacimientos,4622.0
399,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2001,Nacimientos,4537.0
400,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2002,Nacimientos,4392.0
401,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2003,Nacimientos,4948.0
402,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2004,Nacimientos,4199.0
403,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2005,Nacimientos,4091.0
404,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2006,Nacimientos,3822.0
405,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2007,Nacimientos,4196.0
406,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2008,Nacimientos,3984.0
407,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2009,Nacimientos,4157.0
408,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2010,Nacimientos,4111.0
409,11,Guanajuato,3,San Miguel de Allende,1002000026,Nacimientos,2011,Nacimientos,4025.0
